id,KODE PROVINSI,NAMA PROVINSI,KODE KAB,NAMA KABUPATEN,DESA MANDIRI,DESA MAJU,DESA BERKEMBANG,DESA TERTINGGAL,DESA SANGAT TERTINGGAL,TIDAK MEMENUHI KRITERIA (tidak melakukan pengukuran berdasarkan,TOTAL DESA
199,21.0,KEPULAUAN RIAU,2104.0,LINGGA,2.0,25.0,48.0,0.0,0.0,0,75.0
200,21.0,KEPULAUAN RIAU,2103.0,NATUNA,5.0,42.0,23.0,0.0,0.0,0,70.0
201,18.0,LAMPUNG,1804.0,LAMPUNG BARAT,63.0,57.0,11.0,0.0,0.0,0,131.0
202,18.0,LAMPUNG,1801.0,LAMPUNG SELATAN,20.0,112.0,124.0,0.0,0.0,0,256.0
203,18.0,LAMPUNG,1802.0,LAMPUNG TENGAH,48.0,189.0,64.0,0.0,0.0,0,301.0
204,18.0,LAMPUNG,1807.0,LAMPUNG TIMUR,43.0,131.0,90.0,0.0,0.0,0,264.0
205,18.0,LAMPUNG,1803.0,LAMPUNG UTARA,5.0,75.0,152.0,0.0,0.0,0,232.0
206,18.0,LAMPUNG,1811.0,MESUJI,16.0,49.0,40.0,0.0,0.0,0,105.0
207,18.0,LAMPUNG,1809.0,PESAWARAN,26.0,46.0,76.0,0.0,0.0,0,148.0
208,18.0,LAMPUNG,1813.0,PESISIR BARAT,9.0,56.0,47.0,4.0,0.0,0,116.0
209,18.0,LAMPUNG,1810.0,PRINGSEWU,36.0,75.0,15.0,0.0,0.0,0,126.0
210,18.0,LAMPUNG,1806.0,TANGGAMUS,11.0,141.0,147.0,0.0,0.0,0,299.0
211,18.0,LAMPUNG,1805.0,TULANG BAWANG,17.0,67.0,63.0,0.0,0.0,0,147.0
212,18.0,LAMPUNG,1812.0,TULANG BAWANG BARAT,18.0,39.0,43.0,0.0,0.0,0,100.0
213,18.0,LAMPUNG,1808.0,WAY KANAN,47.0,127.0,47.0,0.0,0.0,0,221.0
214,81.0,MALUKU,8104.0,BURU,9.0,22.0,43.0,8.0,0.0,0,82.0
215,81.0,MALUKU,8109.0,BURU SELATAN,1.0,7.0,38.0,35.0,0.0,0,81.0
216,81.0,MALUKU,8107.0,KEPULAUAN ARU,0.0,5.0,58.0,54.0,0.0,0,117.0
217,81.0,MALUKU,8103.0,KEPULAUAN TANIMBAR,15.0,63.0,2.0,0.0,0.0,0,80.0
218,81.0,MALUKU,8171.0,KOTA AMBON,30.0,0.0,0.0,0.0,0.0,0,30.0
219,81.0,MALUKU,8172.0,KOTA TUAL,11.0,16.0,0.0,0.0,0.0,0,27.0
220,81.0,MALUKU,8108.0,MALUKU BARAT DAYA,3.0,28.0,60.0,26.0,0.0,0,117.0
221,81.0,MALUKU,8101.0,MALUKU TENGAH,8.0,89.0,81.0,8.0,0.0,0,186.0
222,81.0,MALUKU,8102.0,MALUKU TENGGARA,10.0,50.0,124.0,6.0,0.0,0,190.0
223,81.0,MALUKU,8106.0,SERAM BAGIAN BARAT,13.0,26.0,48.0,4.0,1.0,0,92.0
